"LLEGADA","DISTRITO.LOCAL","MUNICIPIO","SECCION","CASILLA","PAN","PRI","PRD","PVEM","PT","PANAL","MORENA","HUMANISTA","ENCUENTRO.SOCIAL","PRI.PVEM.PANAL","PRI.PVEM","PRI.PANAL","PVEM.PANAL","COALICION","CANDIDATO.NO.REGISTRADO","VOTOS.NULOS","TOTAL.VOTOS.VALIDOS","VOTACION.TOTAL.EMITIDA"
26,"OBREGON SURESTE XVI  ","CAJEME",904,"CONTIGUA 2",76,104,3,3,0,2,11,2,5,0,1,0,0,110,0,1,207,208
304,"OBREGON SURESTE XVI  ","CAJEME",782,"BASICA",58,80,7,1,1,2,9,1,3,1,2,2,0,88,0,8,167,175
247,"OBREGON SURESTE XVI  ","CAJEME",798,"BASICA",68,116,8,3,2,2,12,2,3,2,5,0,0,128,0,6,223,229
318,"OBREGON SURESTE XVI  ","CAJEME",777,"CONTIGUA 1",84,198,25,4,2,3,18,8,3,2,2,0,0,209,0,9,349,358
17,"OBREGON SURESTE XVI  ","CAJEME",863,"BASICA",68,116,6,1,1,6,13,2,0,5,2,0,0,130,0,7,220,227
245,"OBREGON SURESTE XVI  ","CAJEME",882,"CONTIGUA 1",84,139,12,3,7,3,15,5,8,0,3,0,0,148,0,10,279,289
365,"OBREGON SURESTE XVI  ","CAJEME",830,"CONTIGUA 1",82,168,8,3,3,3,20,5,5,3,3,0,0,180,0,9,303,312
287,"PUERTO PEÑASCO II   ","SAN LUIS RIO COLORADO",696,"CONTIGUA 2",86,80,9,12,1,5,17,5,7,0,0,0,0,97,0,9,222,231
160,"PUERTO PEÑASCO II   ","GRAL. PLUTARCO ELIAS CALLES",1324,"CONTIGUA 1",104,107,76,5,8,5,5,3,1,0,3,0,0,120,0,14,317,331
15,"PUERTO PEÑASCO II   ","PUERTO PEÑASCO",632,"BASICA",223,113,0,0,6,1,5,0,0,0,0,0,0,114,0,8,348,356
246,"PUERTO PEÑASCO II   ","SAN LUIS RIO COLORADO",661,"CONTIGUA 9",90,62,12,3,2,2,7,4,12,0,0,0,0,67,0,8,194,202
331,"PUERTO PEÑASCO II   ","PUERTO PEÑASCO",644,"CONTIGUA 2",231,127,13,4,2,2,3,1,3,2,2,1,0,138,0,5,391,396
25,"PUERTO PEÑASCO II   ","PUERTO PEÑASCO",632,"CONTIGUA 5",201,117,8,4,1,1,4,3,4,0,0,0,0,122,0,16,343,359
78,"PUERTO PEÑASCO II   ","SAN LUIS RIO COLORADO",730,"CONTIGUA 1",86,79,8,3,2,4,12,3,11,0,0,0,0,86,0,2,208,210
284,"PUERTO PEÑASCO II   ","PUERTO PEÑASCO",638,"CONTIGUA 13",181,155,2,1,2,0,0,3,4,2,0,0,0,158,0,3,350,353
